Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales,Loss
Basket,5,550.0,0.0,0.0,550.0,0.0
Christmas,15,570.0,-20.2,0.0,549.8,-20.2
Jewelry,40,616.0,-11.2,-56.0,548.8,-67.2
Art & Sculpture,6,588.0,-48.99,0.0,539.01,-48.99
Home Decor,6,590.0,-59.0,0.0,531.0,-59.0
Home Decor,8,544.0,-13.6,0.0,530.4,-13.6
Basket,5,550.0,-22.0,0.0,528.0,-22.0
Basket,19,622.0,-94.6,0.0,527.4,-94.6
Basket,3,525.0,0.0,0.0,525.0,0.0
Art & Sculpture,6,522.0,0.0,0.0,522.0,0.0
Textiles,5,564.0,-44.0,0.0,520.0,-44.0
Art & Sculpture,13,526.0,-12.6,0.0,513.4,-12.6
Art & Sculpture,18,516.0,-6.0,0.0,510.0,-6.0
Basket,12,528.0,-18.8,0.0,509.2,-18.8
Basket,3,525.0,-17.5,0.0,507.5,-17.5
Art & Sculpture,14,518.0,-14.6,0.0,503.4,-14.6
Jewelry,9,522.0,-21.6,0.0,500.4,-21.6
Kitchen,7,506.0,-5.8,0.0,500.2,-5.8
Basket,4,500.0,0.0,0.0,500.0,0.0
Basket,9,498.0,0.0,0.0,498.0,0.0
Jewelry,11,528.0,-33.58,0.0,494.42,-33.58
Basket,12,546.0,-17.6,-37.0,491.4,-54.6
Art & Sculpture,9,486.0,-5.4,0.0,480.6,-5.4
Jewelry,10,480.0,0.0,0.0,480.0,0.0
Art & Sculpture,22,506.0,-10.99,-19.8,475.21,-30.79
Basket,10,480.0,-4.8,0.0,475.2,-4.8
Art & Sculpture,9,593.0,-9.0,-110.0,474.0,-119.0
Art & Sculpture,22,484.0,-11.29,0.0,472.71,-11.29
Basket,4,500.0,-37.5,0.0,462.5,-37.5
Kitchen,13,468.0,-7.2,0.0,460.8,-7.2
Art & Sculpture,5,460.0,0.0,0.0,460.0,0.0
Basket,4,460.0,0.0,0.0,460.0,0.0
Christmas,21,462.0,-2.2,0.0,459.8,-2.2
Accessories,25,472.0,-14.0,0.0,458.0,-14.0
Jewelry,17,476.0,-18.2,0.0,457.8,-18.2
Basket,3,460.0,-2.24,0.0,457.76,-2.24
Art & Sculpture,7,476.0,-20.4,0.0,455.6,-20.4
Art & Sculpture,2,450.0,0.0,0.0,450.0,0.0
Basket,3,450.0,0.0,0.0,450.0,0.0
Art & Sculpture,18,450.0,-5.0,0.0,445.0,-5.0
Basket,3,460.0,-17.5,0.0,442.5,-17.5
Art & Sculpture,4,458.0,-15.6,0.0,442.4,-15.6
Art & Sculpture,6,536.0,-6.8,-88.0,441.2,-94.8
Jewelry,5,440.0,0.0,0.0,440.0,0.0
Christmas,5,440.0,0.0,0.0,440.0,0.0
Jewelry,16,448.0,-8.4,0.0,439.6,-8.4
Art & Sculpture,25,450.0,-14.39,0.0,435.61,-14.39
Basket,4,440.0,-11.0,0.0,429.0,-11.0
Christmas,17,442.0,-20.8,0.0,421.2,-20.8
Kitchen,45,437.0,-10.25,-8.54,418.21,-18.79
Art & Sculpture,10,420.0,-4.5,0.0,415.5,-4.5
Art & Sculpture,14,435.0,-20.1,0.0,414.9,-20.1
Fair Trade Gifts,17,432.0,-19.6,0.0,412.4,-19.6
Basket,10,420.0,-9.6,0.0,410.4,-9.6
Basket,2,615.0,0.0,-205.0,410.0,-205.0
Art & Sculpture,12,432.0,-25.2,0.0,406.8,-25.2
One-of-a-Kind,1,450.0,-45.0,0.0,405.0,-45.0
Christmas,12,408.0,-3.4,0.0,404.6,-3.4
Jewelry,29,462.0,-8.41,-56.0,397.59,-64.41
Basket,6,408.0,-11.8,0.0,396.2,-11.8
Basket,4,440.0,-44.0,0.0,396.0,-44.0
Basket,2,410.0,-20.5,0.0,389.5,-20.5
Art & Sculpture,3,432.0,-43.2,0.0,388.8,-43.2
Art & Sculpture,1,385.0,0.0,0.0,385.0,0.0
Basket,4,414.0,-33.0,0.0,381.0,-33.0
Art & Sculpture,6,379.0,0.0,0.0,379.0,0.0
Home Decor,3,374.0,0.0,0.0,374.0,0.0
Basket,9,378.0,-4.2,0.0,373.8,-4.2
Art & Sculpture,16,408.0,-13.6,-21.6,372.8,-35.2
Kitchen,21,374.0,-1.39,0.0,372.61,-1.39
Art & Sculpture,3,384.0,-12.8,0.0,371.2,-12.8
Art & Sculpture,4,380.0,-9.5,0.0,370.5,-9.5
Basket,2,370.0,0.0,0.0,370.0,0.0
Basket,11,393.25,-25.0,0.0,368.25,-25.0
Basket,8,428.0,-19.2,-46.0,362.8,-65.2
Soapstone,13,359.0,0.0,0.0,359.0,0.0
Art & Sculpture,2,396.0,-39.6,0.0,356.4,-39.6
Kitchen,18,360.0,-4.0,0.0,356.0,-4.0
Art & Sculpture,4,360.0,-4.19,0.0,355.81,-4.19
Art & Sculpture,4,360.0,-5.8,0.0,354.2,-5.8
Christmas,16,352.0,0.0,0.0,352.0,0.0
Basket,2,370.0,-18.5,0.0,351.5,-18.5
Art & Sculpture,1,350.0,0.0,0.0,350.0,0.0
Basket,2,350.0,0.0,0.0,350.0,0.0
Art & Sculpture,11,352.0,-3.19,0.0,348.81,-3.19
Basket,7,364.0,-15.6,0.0,348.4,-15.6
Basket,6,348.0,0.0,0.0,348.0,0.0
Basket,3,348.0,0.0,0.0,348.0,0.0
Home Decor,16,352.0,-4.4,0.0,347.6,-4.4
Christmas,16,352.0,-4.4,0.0,347.6,-4.4
Basket,8,344.0,0.0,0.0,344.0,0.0
Basket,9,342.0,0.0,0.0,342.0,0.0
Jewelry,11,360.0,-19.4,0.0,340.6,-19.4
Basket,9,339.0,0.0,0.0,339.0,0.0
Fair Trade Gifts,16,352.0,-13.18,0.0,338.82,-13.18
Art & Sculpture,6,348.0,-11.6,0.0,336.4,-11.6
Basket,3,360.0,-24.0,0.0,336.0,-24.0
Art & Sculpture,2,336.0,0.0,0.0,336.0,0.0
Jewelry,7,336.0,-3.15,0.0,332.85,-3.15
Art & Sculpture,14,350.0,-17.2,0.0,332.8,-17.2
Art & Sculpture,2,350.0,-17.5,0.0,332.5,-17.5
Basket,2,350.0,-17.5,0.0,332.5,-17.5
Basket,3,330.0,0.0,0.0,330.0,0.0
Basket,3,440.0,0.0,-110.0,330.0,-110.0
Basket,2,330.0,0.0,0.0,330.0,0.0
Art & Sculpture,3,440.0,0.0,-110.0,330.0,-110.0
Basket,1,365.0,-36.5,0.0,328.5,-36.5
Art & Sculpture,8,336.0,-12.6,0.0,323.4,-12.6
Jewelry,10,340.0,-18.6,0.0,321.4,-18.6
Home Decor,5,408.0,-20.4,-68.0,319.6,-88.4
Basket,3,330.0,-11.0,0.0,319.0,-11.0
Music,9,328.0,-12.6,0.0,315.4,-12.6
Art & Sculpture,7,315.0,0.0,0.0,315.0,0.0
Basket,2,350.0,-35.0,0.0,315.0,-35.0
Christmas,18,324.0,-10.8,0.0,313.2,-10.8
Basket,1,310.0,0.0,0.0,310.0,0.0
Art & Sculpture,3,330.0,-22.0,0.0,308.0,-22.0
Basket,3,330.0,-22.0,0.0,308.0,-22.0
Art & Sculpture,2,324.0,-16.2,0.0,307.8,-16.2
Kitchen,13,312.0,-4.81,0.0,307.19,-4.81
Art & Sculpture,5,312.0,-5.0,0.0,307.0,-5.0
Basket,5,307.0,0.0,0.0,307.0,0.0
Art & Sculpture,7,315.0,-9.5,0.0,305.5,-9.5
Basket,3,348.0,-46.4,0.0,301.6,-46.4
Art & Sculpture,2,300.0,0.0,0.0,300.0,0.0
Basket,8,348.0,-11.41,-38.0,298.59,-49.41
Basket,3,298.0,0.0,0.0,298.0,0.0
Jewelry,11,308.0,-11.21,0.0,296.79,-11.21
Art & Sculpture,2,296.0,0.0,0.0,296.0,0.0
Jewelry,6,300.0,-4.4,0.0,295.6,-4.4
Kitchen,29,307.5,-14.16,0.0,293.34,-14.16
Basket,3,304.0,-11.0,0.0,293.0,-11.0
Jewelry,21,378.0,-2.8,-84.0,291.2,-86.8
Art & Sculpture,5,290.0,0.0,0.0,290.0,0.0
Textiles,8,342.0,-15.2,-38.0,288.8,-53.2
Basket,3,288.0,0.0,0.0,288.0,0.0
Home Decor,2,288.0,0.0,0.0,288.0,0.0
Art & Sculpture,6,288.0,0.0,0.0,288.0,0.0
Christmas,16,306.0,-1.8,-18.0,286.2,-19.8
Soapstone,8,285.0,0.0,0.0,285.0,0.0
Home Decor,5,320.0,-38.4,0.0,281.6,-38.4
Home Decor,8,304.0,-22.8,0.0,281.2,-22.8
Furniture,2,350.0,-70.0,0.0,280.0,-70.0
Music,16,292.0,-12.2,0.0,279.8,-12.2
Art & Sculpture,3,302.0,-23.4,0.0,278.6,-23.4
Jewelry,6,288.0,-9.6,0.0,278.4,-9.6
Art & Sculpture,6,288.0,-9.61,0.0,278.39,-9.61
Christmas,13,286.0,-8.8,0.0,277.2,-8.8
Jewelry,6,288.0,-12.0,0.0,276.0,-12.0
Basket,6,280.0,-6.32,0.0,273.68,-6.32
Home Decor,2,288.0,-14.39,0.0,273.61,-14.39
Art & Sculpture,8,288.0,-14.4,0.0,273.6,-14.4
Home Decor,4,286.0,-13.6,0.0,272.4,-13.6
Art & Sculpture,4,272.0,0.0,0.0,272.0,0.0
Basket,2,272.0,0.0,0.0,272.0,0.0
Art & Sculpture,6,276.0,-4.8,0.0,271.2,-4.8
Christmas,15,270.0,0.0,0.0,270.0,0.0
Home Decor,2,270.0,0.0,0.0,270.0,0.0
Jewelry,10,280.0,-10.44,0.0,269.56,-10.44
Art & Sculpture,15,278.0,-8.71,0.0,269.29,-8.71
Art & Sculpture,7,272.0,-3.52,0.0,268.48,-3.52
Christmas,15,288.0,-3.6,-18.0,266.4,-21.6
Home Decor,4,272.0,-6.79,0.0,265.21,-6.79
Home Decor,4,272.0,-6.8,0.0,265.2,-6.8
Christmas,15,270.0,-5.41,0.0,264.59,-5.41
Kids,12,264.0,0.0,0.0,264.0,0.0
Home Decor,3,264.0,0.0,0.0,264.0,0.0
Fair Trade Gifts,22,264.0,0.0,0.0,264.0,0.0
Kitchen,2,264.0,0.0,0.0,264.0,0.0
Basket,1,288.0,-28.8,0.0,259.2,-28.8
Recycled Art,9,262.0,-3.0,0.0,259.0,-3.0
Music,4,256.0,0.0,0.0,256.0,0.0
Basket,6,264.0,-8.8,0.0,255.2,-8.8
Jewelry,7,270.0,-15.21,0.0,254.79,-15.21
Basket,6,252.0,0.0,0.0,252.0,0.0
Basket,6,267.0,-15.31,0.0,251.69,-15.31
Home Decor,4,272.0,-20.4,0.0,251.6,-20.4
Home Decor,7,304.0,-15.2,-38.0,250.8,-53.2
Home Decor,4,248.0,0.0,0.0,248.0,0.0
Furniture,1,275.0,-27.5,0.0,247.5,-27.5
Recycled Art,1,245.0,0.0,0.0,245.0,0.0
Art & Sculpture,2,244.0,0.0,0.0,244.0,0.0
Jewelry,6,252.0,-8.41,0.0,243.59,-8.41
Skin Care,13,240.5,0.0,0.0,240.5,0.0
Music,13,280.0,-21.99,-18.01,240.0,-40.0
Basket,1,240.0,0.0,0.0,240.0,0.0
Art & Sculpture,5,240.0,0.0,0.0,240.0,0.0
Basket,8,274.0,0.0,-34.0,240.0,-34.0
Art & Sculpture,1,240.0,0.0,0.0,240.0,0.0
Jewelry,8,244.0,-5.1,0.0,238.9,-5.1
Home Decor,2,249.0,-12.5,0.0,236.5,-12.5
Kitchen,4,252.0,-15.6,0.0,236.4,-15.6
Christmas,13,234.0,0.0,0.0,234.0,0.0
Basket,2,232.0,0.0,0.0,232.0,0.0
Basket,2,348.0,-11.6,-104.4,232.0,-116.0
Jewelry,5,240.0,-9.6,0.0,230.4,-9.6
Basket,2,230.0,0.0,0.0,230.0,0.0
Christmas,9,252.0,-22.4,0.0,229.6,-22.4
Skin Care,6,228.0,0.0,0.0,228.0,0.0
Basket,5,272.0,-5.12,-38.88,228.0,-44.0
Christmas,4,232.0,-5.8,0.0,226.2,-5.8
Basket,6,268.0,-4.0,-38.0,226.0,-42.0
Basket,5,240.0,-14.6,0.0,225.4,-14.6
Basket,4,245.0,-19.69,0.0,225.31,-19.69
Art & Sculpture,1,225.0,0.0,0.0,225.0,0.0
Basket,6,228.0,-3.4,0.0,224.6,-3.4
Basket,6,266.0,-3.8,-38.0,224.2,-41.8
Kitchen,19,228.0,-5.79,0.0,222.21,-5.79
Art & Sculpture,3,222.0,0.0,0.0,222.0,0.0
Basket,4,232.0,-10.6,0.0,221.4,-10.6
Basket,2,232.0,-11.6,0.0,220.4,-11.6
Basket,2,220.0,0.0,0.0,220.0,0.0
Basket,1,240.0,-24.0,0.0,216.0,-24.0
Christmas,8,224.0,-8.41,0.0,215.59,-8.41
Home Decor,3,234.0,-19.5,0.0,214.5,-19.5
Christmas,12,216.0,-1.8,0.0,214.2,-1.8
Home Decor,6,228.0,-15.19,0.0,212.81,-15.19
Basket,5,220.0,-8.8,0.0,211.2,-8.8
Art & Sculpture,1,210.0,0.0,0.0,210.0,0.0
Art & Sculpture,8,224.0,-14.0,0.0,210.0,-14.0
Basket,1,210.0,0.0,0.0,210.0,0.0
Basket,2,220.0,-11.0,0.0,209.0,-11.0
Basket,2,232.0,-23.2,0.0,208.8,-23.2
Art & Sculpture,12,216.0,-8.4,0.0,207.6,-8.4
Soapstone,8,224.0,-19.6,0.0,204.4,-19.6
Kitchen,6,204.0,0.0,0.0,204.0,0.0
Jewelry,3,204.0,0.0,0.0,204.0,0.0
Basket,3,204.0,0.0,0.0,204.0,0.0
Jewelry,6,204.0,0.0,0.0,204.0,0.0
Basket,6,204.0,0.0,0.0,204.0,0.0
Kitchen,20,220.5,-16.92,0.0,203.58,-16.92
Art & Sculpture,4,312.0,-5.2,-104.0,202.8,-109.2
Art & Sculpture,6,216.0,-14.4,0.0,201.6,-14.4
One-of-a-Kind,1,200.0,0.0,0.0,200.0,0.0
Basket,4,204.0,-5.8,0.0,198.2,-5.8
Home Decor,2,208.0,-9.8,0.0,198.2,-9.8
Basket,2,220.0,-22.0,0.0,198.0,-22.0
Basket,1,220.0,-22.0,0.0,198.0,-22.0
Art & Sculpture,9,198.0,0.0,0.0,198.0,0.0
Accessories,3,204.0,-6.8,0.0,197.2,-6.8
Accessories,2,196.0,0.0,0.0,196.0,0.0
Art & Sculpture,7,196.0,0.0,0.0,196.0,0.0
Home Decor,4,196.0,0.0,0.0,196.0,0.0
Jewelry,6,202.0,-6.6,0.0,195.4,-6.6
Basket,1,195.0,0.0,0.0,195.0,0.0
Art & Sculpture,3,195.0,0.0,0.0,195.0,0.0
Basket,1,390.0,0.0,-195.0,195.0,-195.0
Basket,4,208.0,-13.01,0.0,194.99,-13.01
Recycled Art,8,200.0,-5.01,0.0,194.99,-5.01
Jewelry,5,202.0,-7.6,0.0,194.4,-7.6
Soapstone,7,193.0,0.0,0.0,193.0,0.0
Art & Sculpture,3,192.0,0.0,0.0,192.0,0.0
Home Decor,5,204.0,-12.1,0.0,191.9,-12.1
Kids,6,204.0,-13.4,0.0,190.6,-13.4
Basket,3,204.0,-13.6,0.0,190.4,-13.6
Home Decor,2,190.0,0.0,0.0,190.0,0.0
Basket,2,190.0,0.0,0.0,190.0,0.0
Basket,4,194.0,-4.4,0.0,189.6,-4.4
Basket,4,194.0,-5.0,0.0,189.0,-5.0
Recycled Art,6,192.0,-3.2,0.0,188.8,-3.2
Basket,1,564.0,0.0,-376.0,188.0,-376.0
Basket,4,188.0,0.0,0.0,188.0,0.0
Basket,7,196.0,-8.39,0.0,187.61,-8.39
Basket,6,194.0,-6.41,0.0,187.59,-6.41
Basket,4,192.0,-4.8,0.0,187.2,-4.8
Home Decor,8,192.0,-4.8,0.0,187.2,-4.8
Accessories,2,196.0,-9.79,0.0,186.21,-9.79
Soapstone,5,190.0,-3.8,0.0,186.2,-3.8
Accessories,2,196.0,-9.81,0.0,186.19,-9.81
Art & Sculpture,12,192.0,-6.42,0.0,185.58,-6.42
Basket,1,185.0,0.0,0.0,185.0,0.0
Art & Sculpture,1,185.0,0.0,0.0,185.0,0.0
Home Decor,1,185.0,0.0,0.0,185.0,0.0
Basket,1,205.0,-20.5,0.0,184.5,-20.5
Art & Sculpture,3,204.0,-20.4,0.0,183.6,-20.4
Music,9,186.0,-2.4,0.0,183.6,-2.4
Jewelry,8,192.0,-9.59,0.0,182.41,-9.59
Home Decor,5,190.0,-7.6,0.0,182.4,-7.6
Home Decor,5,228.0,-7.6,-38.0,182.4,-45.6
Basket,4,182.0,0.0,0.0,182.0,0.0
Soapstone,7,183.0,-2.1,0.0,180.9,-2.1
Furniture,2,190.0,-9.49,0.0,180.51,-9.49
Recycled Art,12,180.0,0.0,0.0,180.0,0.0
Basket,4,184.0,-4.6,0.0,179.4,-4.6
Jewelry,7,196.0,-16.79,0.0,179.21,-16.79
Basket,2,188.0,-9.4,0.0,178.6,-9.4
Art & Sculpture,1,198.0,-19.8,0.0,178.2,-19.8
Kids,5,178.0,0.0,0.0,178.0,0.0
Jewelry,13,238.0,-4.21,-56.0,177.79,-60.21
Jewelry,4,192.0,-14.39,0.0,177.61,-14.39
Art & Sculpture,5,180.0,-3.6,0.0,176.4,-3.6
Art & Sculpture,10,180.0,-3.62,0.0,176.38,-3.62
Jewelry,2,176.0,0.0,0.0,176.0,0.0
Art & Sculpture,4,176.0,0.0,0.0,176.0,0.0
Art & Sculpture,4,180.0,-4.5,0.0,175.5,-4.5
Basket,1,195.0,-19.5,0.0,175.5,-19.5
Art & Sculpture,1,195.0,-19.5,0.0,175.5,-19.5
Jewelry,4,180.0,-4.6,0.0,175.4,-4.6
Basket,1,175.0,0.0,0.0,175.0,0.0
One-of-a-Kind,1,175.0,0.0,0.0,175.0,0.0
Christmas,10,180.0,-5.4,0.0,174.6,-5.4
Home Decor,3,179.2,-5.12,0.0,174.08,-5.12
Music,3,174.0,0.0,0.0,174.0,0.0
Basket,3,174.0,0.0,0.0,174.0,0.0
Jewelry,3,174.0,0.0,0.0,174.0,0.0
Home Decor,3,186.0,-12.4,0.0,173.6,-12.4
Art & Sculpture,5,180.0,-7.2,0.0,172.8,-7.2
Art & Sculpture,3,184.0,-11.6,0.0,172.4,-11.6
Art & Sculpture,4,172.0,0.0,0.0,172.0,0.0
Art & Sculpture,8,176.0,-4.4,0.0,171.6,-4.4
Home Decor,4,176.0,-4.4,0.0,171.6,-4.4
Basket,4,176.0,-4.4,0.0,171.6,-4.4
Kitchen,16,172.5,-1.05,0.0,171.45,-1.05
Basket,5,170.0,0.0,0.0,170.0,0.0
Christmas,5,170.0,0.0,0.0,170.0,0.0
Kitchen,15,171.0,-1.05,0.0,169.95,-1.05
Jewelry,8,176.0,-6.6,0.0,169.4,-6.6
Kitchen,16,175.5,-7.12,0.0,168.38,-7.12
Home Decor,3,174.0,-5.8,0.0,168.2,-5.8
Furniture,3,174.0,-5.8,0.0,168.2,-5.8
Accessories,3,174.0,-5.81,0.0,168.19,-5.81
Basket,4,168.0,0.0,0.0,168.0,0.0
Soapstone,7,168.0,0.0,0.0,168.0,0.0
Art & Sculpture,4,168.0,0.0,0.0,168.0,0.0
Art & Sculpture,4,182.0,-14.4,0.0,167.6,-14.4
Kitchen,14,172.0,-4.8,0.0,167.2,-4.8
Kids,5,170.0,-3.4,0.0,166.6,-3.4
Home Decor,4,166.6,0.0,0.0,166.6,0.0
Basket,1,185.0,-18.5,0.0,166.5,-18.5
Art & Sculpture,4,166.0,0.0,0.0,166.0,0.0
Basket,2,182.0,-16.23,0.0,165.77,-16.23
Art & Sculpture,1,165.0,0.0,0.0,165.0,0.0
Basket,1,165.0,0.0,0.0,165.0,0.0
One-of-a-Kind,1,165.0,0.0,0.0,165.0,0.0
Basket,5,206.0,-7.2,-34.0,164.8,-41.2
Basket,3,164.0,0.0,0.0,164.0,0.0
Textiles,8,164.0,0.0,0.0,164.0,0.0
Art & Sculpture,2,163.0,0.0,0.0,163.0,0.0
Art & Sculpture,6,162.0,0.0,0.0,162.0,0.0
Art & Sculpture,3,162.0,0.0,0.0,162.0,0.0
Basket,10,160.0,0.0,0.0,160.0,0.0
Basket,3,160.0,0.0,0.0,160.0,0.0
Home Decor,2,160.0,0.0,0.0,160.0,0.0
Basket,3,171.0,-11.3,0.0,159.7,-11.3
Christmas,6,168.0,-8.4,0.0,159.6,-8.4
Basket,6,170.0,-11.6,0.0,158.4,-11.6
Basket,3,163.0,-4.8,0.0,158.2,-4.8
Basket,5,172.0,-14.0,0.0,158.0,-14.0
Basket,1,175.0,-17.49,0.0,157.51,-17.49
Basket,1,175.0,-17.5,0.0,157.5,-17.5
Art & Sculpture,4,157.0,0.0,0.0,157.0,0.0
Basket,1,174.0,-17.4,0.0,156.6,-17.4
Home Decor,3,162.0,-5.4,0.0,156.6,-5.4
Basket,3,174.0,-17.4,0.0,156.6,-17.4
Jewelry,2,156.0,0.0,0.0,156.0,0.0
Home Decor,3,180.0,-24.0,0.0,156.0,-24.0
Kitchen,13,156.0,0.0,0.0,156.0,0.0
